Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown
2015-03-17,8723.2998046875,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.010442238346779709,0.01038809476984804,0.15041524797666322,8799.122412109375,8669.16697265625,-0.009335096849980129,0.08389467238211878,-0.03034044132972069
2015-03-18,8685.900390625,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.004287301239194297,-0.0042965180681336585,0.15097453089083682,8792.949951171875,8674.9759765625,-0.014013431663402742,-0.11638418079096047,-0.03449766395720444
2015-03-19,8634.650390625,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.00590036699653107,-0.005917842938767325,0.14935824439226747,8781.227490234374,8680.1009765625,-0.026434387826942185,0.045396419437340185,-0.04019448207586496
2015-03-20,8570.900390625,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.0073830435647072035,-0.0074104331263360745,0.14993840402335779,8765.00751953125,8688.971982421876,-0.036468631882598634,0.06788990825688068,-0.04728076802834513
2015-03-23,8550.900390625,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.002333477124745964,-0.002336203925268819,0.1487447913221531,8750.87255859375,8697.94798828125,-0.03200272043686181,-0.13688430698739973,-0.04950391656245656
2015-03-24,8542.9501953125,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.000929749494125387,-0.0009301819792756467,0.14621479704102494,8740.27255859375,8704.115,-0.02421487218893681,0.0398142003981421,-0.05038763981520078
2015-03-25,8530.7998046875,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014222710360253243,-0.0014232834235154116,0.14601595340470122,8728.707568359376,8709.04099609375,-0.02639776024002527,0.02744097000638157,-0.05173824597054333
2015-03-26,8342.150390625,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.022113918786236364,-0.022362097108321904,0.1636609709952654,8707.452587890624,8709.42400390625,-0.048487223402435164,0.7397515527950311,-0.07270802938724463
2015-03-27,8341.400390625,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990487642646094e-05,-8.990891811211022e-05,0.16167252169229007,8690.330126953126,8710.26400390625,-0.0394351853330458,-0.31096037129596577,-0.07279139745727381
2015-03-30,8492.2998046875,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.018090417315550278,0.017928732765285012,0.16098745909344175,8672.71513671875,8714.55900390625,-0.03983219368280655,-0.30207253886010366,-0.056017806898707834
2015-03-31,8491.0,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.0001530568535489385,-0.00015306856794447524,0.15171048964185863,8649.42763671875,8714.49599609375,-0.05199988835235991,0.2412769116555309,-0.0561622898429901
2015-04-01,8586.25,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.011217759981156483,0.011155307528727893,0.1576638760484904,8628.92763671875,8715.945,-0.04557454494928448,-0.24940191387559807,-0.04557454494928448
2015-04-06,8659.900390625,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.00857771327704171,0.008541133724940244,0.16056423126564429,8615.79013671875,8718.12900390625,-0.029447528312447457,0.17051792828685253,-0.037387757051549286
2015-04-07,8660.2998046875,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,4.612224673294918e-05,4.6121183134830896e-05,0.16023727798322107,8601.917626953125,8717.4230078125,-0.031042510174540627,0.012253233492171445,-0.03734335921217169
2015-04-08,8714.400390625,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,0.006246964557533818,0.006227533157299894,0.14588570983972715,8599.800146484375,8717.121015625,-0.004836224555343049,-0.00336247478143914,-0.03132967729609559
2015-04-09,8778.2998046875,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,0.007332623152276119,0.007305870171212896,0.14703986171910866,8603.112646484375,8717.45900390625,0.007604410154353536,0.030364372469635637,-0.024226782860914287
2015-04-10,8780.349609375,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,0.0002335081659441407,0.00023348090715570997,0.14689372971981982,8607.1326171875,8716.35400390625,0.00924136486503313,-0.08971840209561233,-0.023998931846602733
