Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown,Regime,Raw_State
2019-04-15,11690.349609375,11690.349609375,11704.599609375,11648.25,11667.0,290000,0.0040279653604204,0.0040198748262654,0.0996581182044349,11566.67255859375,11177.02205078125,0.0305996614175831,0.1788617886178862,-0.0041019202304383,0,1
2019-04-16,11787.150390625,11787.150390625,11810.9501953125,11731.5498046875,11736.2001953125,354300,0.0082804008848778,0.008246306446581,0.1004084917831886,11584.68759765625,11199.7290625,0.0315310688043357,0.2217241379310344,0.0,0,1
2019-04-18,11752.7998046875,11752.7998046875,11856.150390625,11738.5,11856.150390625,339700,-0.0029142400664389,-0.00291849473211,0.1014480537964117,11599.217578125,11218.1660546875,0.0253528645830005,-0.0412080158058142,-0.0029142400664389,0,1
2019-04-22,11594.4501953125,11594.4501953125,11727.0498046875,11583.9501953125,11727.0498046875,260400,-0.0134733520528311,-0.013564941266796,0.112402695323466,11602.320068359377,11232.18205078125,0.0053804761008768,-0.2334412717103327,-0.0163483275368884,0,1
2019-04-23,11575.9501953125,11575.9501953125,11645.9501953125,11564.7998046875,11612.9501953125,272500,-0.0015955909670886,-0.0015968652780555,0.1125141500851668,11605.065087890624,11245.4560546875,0.0047652246588381,0.0464669738863288,-0.0179178332602322,0,1
2019-04-24,11726.150390625,11726.150390625,11740.849609375,11578.849609375,11601.5,335200,0.0129751936366588,0.0128917369476169,0.1187745010084107,11618.527587890623,11261.2920703125,0.023501120793572,0.2300917431192659,-0.0051751269796741,0,1
2019-04-25,11641.7998046875,11641.7998046875,11796.75,11624.2998046875,11735.7001953125,604400,-0.0071933740509534,-0.0072193711121506,0.1169074373602873,11632.905078125,11272.8790625,0.0253253015115484,0.8031026252983293,-0.0123312744065016,0,1
2019-04-26,11754.650390625,11754.650390625,11762.900390625,11661.75,11683.75,333500,0.0096935686775907,0.009646887469961,0.1151599721589206,11646.47509765625,11286.5840625,0.0236344580693619,-0.4482131039046989,-0.0027572397842525,0,1
2019-04-30,11748.150390625,11748.150390625,11756.25,11655.900390625,11748.75,532600,-0.0005529726349993,-0.0005531255807526,0.1141376018531995,11661.630126953123,11302.675078125,0.0264831163786949,0.5970014992503747,-0.0033086877411031,0,1
2019-05-02,11724.75,11724.75,11789.2998046875,11699.5498046875,11725.5498046875,380300,-0.0019918361484096,-0.0019938224921164,0.1088686862281941,11669.367626953124,11319.39408203125,0.0133751080380293,-0.2859556890724747,-0.0052939335256663,0,1
2019-05-03,11712.25,11712.25,11770.900390625,11699.349609375,11722.599609375,305500,-0.0010661208128105,-0.00106668952385,0.1049275705546767,11671.522607421875,11337.01107421875,0.0036934659278731,-0.1966868261898501,-0.0063544103657634,0,1
2019-05-06,11598.25,11598.25,11632.5498046875,11571.349609375,11605.7998046875,299000,-0.0097333987918631,-0.0097810779570294,0.1097036937271203,11665.77509765625,11354.055078125,-0.0098137309527503,-0.0212765957446808,-0.0160259591474495,0,1
2019-05-07,11497.900390625,11497.900390625,11657.0498046875,11484.4501953125,11651.5,337500,-0.0086521336731834,-0.0086897806903779,0.1119327003945993,11658.472607421874,11369.525078125,-0.0125429774464592,0.1287625418060201,-0.0245394340798482,0,1
2019-05-08,11359.4501953125,11359.4501953125,11479.099609375,11346.9501953125,11478.7001953125,372800,-0.0120413458639272,-0.0121144301503351,0.1186898579366589,11646.5451171875,11383.895078125,-0.0205681845738489,0.1045925925925925,-0.036285292130715,0,1
2019-05-09,11301.7998046875,11301.7998046875,11357.599609375,11255.0498046875,11322.400390625,373000,-0.005075103956069,-0.0050880260352891,0.1166084848810971,11628.33759765625,11397.84408203125,-0.0312148075834679,0.0005364806866952,-0.0411762444571444,0,1
2019-05-10,11278.900390625,11278.900390625,11345.7998046875,11251.0498046875,11314.150390625,387300,-0.0020261741013145,-0.0020282295690185,0.1158100143483188,11612.0576171875,11408.7130859375,-0.028058047255375,0.0383378016085791,-0.0431189883183504,0,1
2019-05-13,11148.2001953125,11148.2001953125,11300.2001953125,11125.599609375,11258.7001953125,357600,-0.0115880263843041,-0.011655690801341,0.1179307260126717,11585.8701171875,11415.88009765625,-0.0448725355434038,-0.0766847405112316,-0.054207350728357,0,1
2019-05-14,11222.0498046875,11222.0498046875,11294.75,11108.2998046875,11151.650390625,398100,0.0066243526381999,0.0066025080321108,0.1202525410755928,11567.7576171875,11424.4880859375,-0.0312707721750621,0.113255033557047,-0.0479420866969643,0,1
2019-05-15,11157.0,11157.0,11286.7998046875,11136.9501953125,11271.7001953125,414200,-0.0057966063080854,-0.0058134718372332,0.1207156738340469,11545.772607421875,11430.02609375,-0.0379159750538546,0.0404420999748806,-0.0534607916028793,0,1
2019-05-16,11257.099609375,11257.099609375,11281.5498046875,11143.349609375,11180.349609375,350700,0.0089719108519314,0.0089319023833083,0.1251055006197491,11526.455078125,11438.46208984375,-0.0331817957269263,-0.1533075808788024,-0.0449685262072824,0,1
2019-05-17,11407.150390625,11407.150390625,11426.150390625,11259.849609375,11261.900390625,412100,0.0133294353303079,0.0132413800291101,0.1346063663149134,11512.2951171875,11450.47208984375,-0.0242250427243758,0.1750784145993726,-0.0322384959389536,0,1
2019-05-20,11828.25,11828.25,11845.2001953125,11591.7001953125,11651.900390625,452100,0.0369154078761932,0.0362503520301784,0.1871809245769502,11514.35009765625,11471.18708984375,0.0034868147103381,0.0970638194612958,0.0,2,0
