Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown,Regime,Future_Return,Target,Signal,Position,Market_Return,Strategy_Return,Trade,Strategy_Return_After_Cost,Strategy_Equity,Buy_Hold_Equity
2015-03-17,8723.2998046875,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.0104422383467797,0.010388094769848,0.1504152479766632,8799.122412109375,8669.16697265625,-0.0093350968499801,0.0838946723821187,-0.0303404413297206,0,-0.0042873012391942,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2015-03-18,8685.900390625,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.0042873012391942,-0.0042965180681336,0.1509745308908368,8792.949951171875,8674.9759765625,-0.0140134316634027,-0.1163841807909604,-0.0344976639572044,0,-0.005900366996531,2,2,0.0,-0.004287301239194297,-0.0,0.0,-0.0,100000.0,99571.26987608057
2015-03-19,8634.650390625,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.005900366996531,-0.0059178429387673,0.1493582443922674,8781.227490234374,8680.1009765625,-0.0264343878269421,0.0453964194373401,-0.0401944820758649,0,-0.0073830435647072,2,2,0.0,-0.00590036699653107,-0.0,0.0,-0.0,100000.0,98983.76284150105
2015-03-20,8570.900390625,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.0073830435647072,-0.007410433126336,0.1499384040233577,8765.00751953125,8688.971982421876,-0.0364686318825986,0.0678899082568806,-0.0472807680283451,0,-0.0023334771247459,0,0,0.0,-0.0073830435647072035,-0.0,0.0,-0.0,100000.0,98252.96140824362
2015-03-23,8550.900390625,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.0023334771247459,-0.0023362039252688,0.1487447913221531,8750.87255859375,8697.94798828125,-0.0320027204368618,-0.1368843069873997,-0.0495039165624565,0,-0.0009297494941253,0,0,0.0,-0.002333477124745964,-0.0,0.0,-0.0,100000.0,98023.69037035893
2015-03-24,8542.9501953125,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.0009297494941253,-0.0009301819792756,0.1462147970410249,8740.27255859375,8704.115,-0.0242148721889368,0.0398142003981421,-0.0503876398152007,0,-0.0014222710360253,0,0,0.0,-0.000929749494125387,-0.0,0.0,-0.0,100000.0,97932.55289382479
2015-03-25,8530.7998046875,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014222710360253,-0.0014232834235154,0.1460159534047012,8728.707568359376,8709.04099609375,-0.0263977602400252,0.0274409700063815,-0.0517382459705433,0,-0.0221139187862363,2,2,0.0,-0.0014222710360253243,-0.0,0.0,-0.0,100000.0,97793.26626035987
2015-03-26,8342.150390625,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.0221139187862363,-0.0223620971083219,0.1636609709952654,8707.452587890624,8709.42400390625,-0.0484872234024351,0.7397515527950311,-0.0727080293872446,0,-8.990487642646094e-05,0,0,0.0,-0.022113918786236364,-0.0,0.0,-0.0,100000.0,95630.67391243749
2015-03-27,8341.400390625,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990487642646094e-05,-8.990891811211022e-05,0.16167252169229,8690.330126953126,8710.26400390625,-0.0394351853330458,-0.3109603712959657,-0.0727913974572738,0,0.0180904173155502,1,1,0.0,-8.990487642646094e-05,-0.0,0.0,-0.0,100000.0,95622.07624851682
2015-03-30,8492.2998046875,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.0180904173155502,0.017928732765285,0.1609874590934417,8672.71513671875,8714.55900390625,-0.0398321936828065,-0.3020725388601036,-0.0560178068987078,0,-0.0001530568535489,0,0,1.0,0.018090417315550278,0.018090417315550278,1.0,0.017090417315550277,101709.04173155501,97351.91951243186
2015-03-31,8491.0,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.0001530568535489,-0.0001530685679444,0.1517104896418586,8649.42763671875,8714.49599609375,-0.0519998883523599,0.2412769116555309,-0.0561622898429901,0,0.0112177599811564,1,1,1.0,-0.0001530568535489385,-0.0001530568535489385,0.0,-0.0001530568535489385,101693.47446565011,97337.01913394434
2015-04-01,8586.25,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.0112177599811564,0.0111553075287278,0.1576638760484904,8628.92763671875,8715.945,-0.0455745449492844,-0.249401913875598,-0.0455745449492844,0,0.0085777132770417,1,1,1.0,0.011217759981156483,0.011217759981156483,0.0,0.011217759981156483,102834.24745385563,98428.92245187017
2015-04-06,8659.900390625,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.0085777132770417,0.0085411337249402,0.1605642312656442,8615.79013671875,8718.12900390625,-0.0294475283124474,0.1705179282868525,-0.0373877570515492,0,4.612224673294918e-05,0,0,1.0,0.00857771327704171,0.00857771327704171,0.0,0.00857771327704171,103716.33014357515,99273.21752683047
2015-04-07,8660.2998046875,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,4.612224673294918e-05,4.6121183134830896e-05,0.160237277983221,8601.917626953125,8717.4230078125,-0.0310425101745406,0.0122532334921714,-0.0373433592121716,0,0.0062469645575338,1,1,1.0,4.612224673294918e-05,4.612224673294918e-05,0.0,4.612224673294918e-05,103721.11377374426,99277.79623066321
2015-04-08,8714.400390625,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,0.0062469645575338,0.0062275331572998,0.1458857098397271,8599.800146484375,8717.121015625,-0.004836224555343,-0.0033624747814391,-0.0313296772960955,0,0.0073326231522761,1,0,1.0,0.006246964557533818,0.006246964557533818,0.0,0.006246964557533818,104369.05589535678,99897.98110506624
2015-04-09,8778.2998046875,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,0.0073326231522761,0.0073058701712128,0.1470398617191086,8603.112646484375,8717.45900390625,0.0076044101543535,0.0303643724696356,-0.0242267828609142,0,0.0002335081659441,0,0,1.0,0.007332623152276119,0.007332623152276119,0.0,0.007332623152276119,105134.35485099629,100630.49535418289
2015-04-10,8780.349609375,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,0.0002335081659441,0.0002334809071557,0.1468937297198198,8607.1326171875,8716.35400390625,0.0092413648650331,-0.0897184020956123,-0.0239989318466027,0,0.0061102795460121,1,1,1.0,0.0002335081659441407,0.0002335081659441407,0.0,0.0002335081659441407,105158.90458137527,100653.99339659109
2015-04-13,8834.0,8834.0,8841.650390625,8762.099609375,8801.75,121600,0.0061102795460121,0.0060916874846368,0.1452329471145715,8610.0326171875,8714.82400390625,0.0066089334548768,-0.1251798561151079,-0.0180352924829789,0,-0.0144102110807674,2,0,1.0,0.006110279546012176,0.006110279546012176,0.0,0.006110279546012176,105801.45488511989,101269.01743366673
2015-04-16,8706.7001953125,8706.7001953125,8760.0,8645.650390625,8757.0498046875,142900,-0.0144102110807674,-0.0145150465251854,0.1449506817274068,8612.980126953125,8710.67201171875,0.0068168246436934,0.1751644736842106,-0.0321856111921634,0,-0.0115658278169167,2,2,1.0,-0.014410211080767454,-0.014410211080767454,0.0,-0.014410211080767454,104276.83358757303,99809.70951650567
2015-04-17,8606.0,8606.0,8699.849609375,8596.7001953125,8698.0498046875,150400,-0.0115658278169167,-0.0116332322327412,0.1509695081671495,8611.622607421876,8703.74501953125,-0.0031448995322128,0.0524842547235828,-0.0433791857718494,0,-0.0183477098100163,2,2,0.0,-0.01156582781691673,-0.0,1.0,-0.001,104172.55675398545,98655.32760178129
2015-04-20,8448.099609375,8448.099609375,8619.9501953125,8422.75,8618.7998046875,148900,-0.0183477098100163,-0.0185181166395568,0.158851712523995,8597.86259765625,8696.52900390625,-0.0315477172026829,-0.0099734042553191,-0.060930986869529,0,-0.0083272703481066,2,0,0.0,-0.01834770981001632,-0.0,0.0,-0.0,104172.55675398545,96845.22827973172
2015-04-21,8377.75,8377.75,8469.349609375,8352.7001953125,8416.099609375,407800,-0.0083272703481066,-0.0083621357545242,0.1604139678001243,8582.455078125,8688.13599609375,-0.0354770808743786,1.7387508394895903,-0.068750868417396,0,0.0062009722553788,1,1,0.0,-0.008327270348106652,-0.0,0.0,-0.0,104172.55675398545,96038.77188192228
2015-04-22,8429.7001953125,8429.7001953125,8449.9501953125,8284.7001953125,8400.400390625,171800,0.0062009722553788,0.0061818253391529,0.1620419618255936,8572.207568359376,8681.59900390625,-0.0237357838523517,-0.5787150564001962,-0.0629762183896067,0,-0.003724971220502,0,0,1.0,0.006200972255378856,0.006200972255378856,1.0,0.005200972255378856,104714.35533143481,96634.30564180274
2015-04-23,8398.2998046875,8398.2998046875,8504.9501953125,8361.849609375,8478.2001953125,156000,-0.003724971220502,-0.0037319262025762,0.1606928863096624,8563.5775390625,8675.09099609375,-0.0201379759501456,-0.0919674039580907,-0.0664666050090315,0,-0.0110796002585623,2,2,1.0,-0.0037249712205020824,-0.0037249712205020824,0.0,-0.0037249712205020824,104324.29737145179,96274.34563437382
