Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime
2024-06-10,23259.19921875,0,0.0002429314342191624,0,0.44157782,0.38841704,0.1700051,0
2024-06-11,23264.849609375,0,0.002497312914139238,0,0.63740575,0.14463021,0.21796398,0
2024-06-12,23322.94921875,0,0.0032564994745150067,0,0.798244,0.096402004,0.10535397,0
2024-06-13,23398.900390625,0,0.0028505279152657437,0,0.89637125,0.055134043,0.0484947,0
2024-06-14,23465.599609375,0,0.003933450786960613,0,0.84005547,0.08913178,0.07081282,0
2024-06-18,23557.900390625,0,-0.0017786131162043084,0,0.8883541,0.03884627,0.07279961,0
2024-06-19,23516.0,0,0.0021687361796223215,0,0.77391,0.06298862,0.16310135,0
2024-06-20,23567.0,0,-0.00279629951309035,0,0.90254754,0.051113054,0.046339378,0
2024-06-21,23501.099609375,0,0.00156375661610908,0,0.62868625,0.13766219,0.23365156,0
2024-06-24,23537.849609375,1,0.007793879853915442,0,0.9000452,0.0735007,0.026454052,0
2024-06-25,23721.30078125,1,0.006218040121837909,0,0.8843257,0.041606754,0.07406757,0
2024-06-26,23868.80078125,1,0.007361040898544724,0,0.87827206,0.08840044,0.033327483,2
2024-06-27,24044.5,0,-0.0014099020825968367,0,0.6687947,0.2566545,0.07455087,1
2024-06-28,24010.599609375,1,0.005470484349075377,0,0.6757641,0.2262851,0.097950876,1
2024-07-01,24141.94921875,1,0.00663580104586492,1,0.27158195,0.7078546,0.02056347,1
2024-07-05,24323.849609375,0,-0.00013562113637344275,1,0.3839571,0.4064219,0.20962106,0
2024-07-08,24320.55078125,0,0.004631820986013446,0,0.40386292,0.37111017,0.22502685,0
2024-07-09,24433.19921875,0,-0.004450911197766749,0,0.7002498,0.18530601,0.11444423,0
2024-07-10,24324.44921875,0,-0.0003494426502141934,0,0.6031742,0.108782426,0.28804335,0
2024-07-11,24315.94921875,1,0.007657573644356042,0,0.75383854,0.1438457,0.10231579,0
2024-07-12,24502.150390625,0,0.003450669707641296,0,0.7777327,0.1439086,0.07835873,0
2024-07-15,24586.69921875,0,0.0010697158254551198,0,0.7999867,0.13723916,0.06277407,0
2024-07-16,24613.0,1,0.007632129743428306,0,0.74603117,0.18904178,0.06492708,0
2024-07-18,24800.849609375,2,-0.010884676251089243,0,0.77015215,0.16367029,0.06617757,0
2024-07-19,24530.900390625,0,-0.0008825762723847497,0,0.5104938,0.24403815,0.245468,0
2024-07-22,24509.25,0,-0.0012321559717249908,0,0.6839231,0.24302804,0.073048845,0
2024-07-23,24479.05078125,0,-0.002677831825905974,0,0.82183766,0.11028812,0.067874216,0
2024-07-24,24413.5,0,-0.0003031269840456652,0,0.7517176,0.15138431,0.09689808,0
2024-07-25,24406.099609375,1,0.01756732976027453,0,0.85026956,0.086353496,0.06337699,0
2024-07-26,24834.849609375,0,5.03324972633834e-05,1,0.4002496,0.48742342,0.11232699,0
2024-07-29,24836.099609375,0,0.0008536433743000504,0,0.54282105,0.33170635,0.12547264,2
2024-07-30,24857.30078125,0,0.00377553501085659,0,0.7765414,0.13167563,0.09178295,1
2024-07-31,24951.150390625,0,0.0023946791656728195,0,0.8369347,0.09750999,0.065555386,1
2024-08-01,25010.900390625,2,-0.011722935491954689,0,0.8521353,0.092673965,0.0551908,1
2024-08-02,24717.69921875,2,-0.02678645789462286,0,0.61526215,0.21377908,0.17095873,1
2024-08-05,24055.599609375,0,-0.0026209626510589334,1,0.11230839,0.82560456,0.062087063,2
2024-08-06,23992.55078125,1,0.012710162480444431,1,0.32230628,0.5936478,0.08404593,2
2024-08-07,24297.5,2,-0.007428747813561065,1,0.2502197,0.47301847,0.27676183,2
2024-08-08,24117.0,1,0.010386864037815746,1,0.40372187,0.46958598,0.12669213,2
2024-08-09,24367.5,0,-0.0008412844977941925,1,0.17070752,0.4993482,0.32994425,2
2024-08-12,24347.0,2,-0.008543146999630324,0,0.5274367,0.3818441,0.09071918,2
2024-08-13,24139.0,0,0.00019677699987563635,0,0.36805257,0.34711918,0.28482822,2
2024-08-14,24143.75,1,0.016459762490292462,0,0.41055945,0.3157957,0.27364483,2
2024-08-16,24541.150390625,0,0.0012835584110202358,2,0.29814878,0.2514537,0.45039758,2
2024-08-19,24572.650390625,1,0.005135759339910173,0,0.42051148,0.38516453,0.19432396,2
2024-08-20,24698.849609375,0,0.0028887826964991703,0,0.54801416,0.34625763,0.10572822,2
2024-08-21,24770.19921875,0,0.001667357653657442,0,0.6002529,0.2386395,0.16110757,2
2024-08-22,24811.5,0,0.00046955607782672715,0,0.5068287,0.2971103,0.19606099,2
2024-08-23,24823.150390625,1,0.007551387144671073,0,0.5400988,0.31599215,0.14390904,2
2024-08-26,25010.599609375,0,0.0002858944102370753,0,0.5927476,0.118692644,0.2885597,2
2024-08-27,25017.75,0,0.0013830024432652799,0,0.52664775,0.30095118,0.17240109,1
2024-08-28,25052.349609375,0,0.00397565940632294,0,0.6884895,0.22479713,0.08671339,2
2024-08-29,25151.94921875,0,0.003337760073577778,0,0.8497697,0.08487974,0.06535055,1
2024-08-30,25235.900390625,0,0.001695950113232314,0,0.8964979,0.0636272,0.03987491,2
2024-09-02,25278.69921875,0,4.550829989491412e-05,0,0.8122054,0.15044284,0.037351824,1
2024-09-03,25279.849609375,0,-0.0032100820170585243,0,0.7847566,0.08032026,0.13492312,2
2024-09-04,25198.69921875,0,-0.0021270784221717465,0,0.5996309,0.039495233,0.36087388,1
2024-09-05,25145.099609375,2,-0.011650350298901935,0,0.8074775,0.08504513,0.10747738,2
2024-09-06,24852.150390625,0,0.003390048695012693,2,0.45635647,0.05597083,0.4876727,1
2024-09-09,24936.400390625,0,0.0041986500501236534,0,0.8251123,0.08607439,0.08881331,2
2024-09-10,25041.099609375,0,-0.004897963449619458,0,0.8600266,0.040644582,0.09932886,1
2024-09-11,24918.44921875,1,0.01887963282727112,0,0.88375854,0.03342087,0.08282061,2
2024-09-12,25388.900390625,0,-0.0012761636040355961,0,0.901878,0.052020896,0.046101116,1
2024-09-13,25356.5,0,0.0010746751326089488,0,0.81651247,0.10085232,0.082635276,2
2024-09-16,25383.75,0,0.0013709866056039743,0,0.7757466,0.133571,0.09068238,1
2024-09-17,25418.55078125,0,-0.0016129951842196455,0,0.77089745,0.058087874,0.17101464,2
2024-09-18,25377.55078125,0,0.0015072376499098983,0,0.875697,0.062529735,0.0617733,1
2024-09-19,25415.80078125,1,0.014760441377741573,0,0.8759609,0.054484785,0.06955431,2
2024-09-20,25790.94921875,1,0.005742385099666292,0,0.83453274,0.14274144,0.022725778,1
2024-09-23,25939.05078125,0,5.2030021699067674e-05,0,0.8305986,0.14934559,0.020055776,2
2024-09-24,25940.400390625,0,0.0024575565157058943,0,0.5522441,0.38720986,0.06054596,1
2024-09-25,26004.150390625,1,0.008148714241454025,0,0.9166551,0.046424,0.03692084,1
2024-09-26,26216.05078125,0,-0.0014152231703233875,0,0.7273478,0.24189958,0.030752629,1
2024-09-27,26178.94921875,2,-0.014060900852023384,0,0.85922056,0.09499088,0.045788627,1
2024-09-30,25810.849609375,0,-0.0005404401234794243,0,0.63789916,0.19838598,0.16371484,2
2024-10-01,25796.900390625,2,-0.021196375260987388,0,0.66865546,0.22217463,0.1091699,2
2024-10-03,25250.099609375,2,-0.009326695880144675,1,0.34151548,0.44621414,0.21227033,2
