Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime,Volatility_20,Desired_Position,Position,Market_Return,Strategy_Return,Trade,Transaction_Cost,Strategy_Return_After_Cost,Strategy_Equity,Buy_Hold_Equity
2024-06-10,23259.19921875,0,0.0002429314342191,0,0.44157782,0.38841704,0.1700051,0,0.2997787297175804,0.0,0.0,0.0002429314342191,0.0,0.0,0.0,0.0,100000.0,100024.29314342192
2024-06-11,23264.849609375,0,0.0024973129141392,0,0.63740575,0.14463021,0.21796398,0,0.29989901975113,0.0,0.0,0.0024973129141392,0.0,0.0,0.0,0.0,100000.0,100274.08510241665
2024-06-12,23322.94921875,0,0.003256499474515,0,0.798244,0.096402004,0.10535397,0,0.2997446293214439,0.0,0.0,0.003256499474515,0.0,0.0,0.0,0.0,100000.0,100600.62760786012
2024-06-13,23398.900390625,0,0.0028505279152657,0,0.89637125,0.055134043,0.0484947,0,0.299514199658789,0.0,0.0,0.0028505279152657,0.0,0.0,0.0,0.0,100000.0,100887.39250514958
2024-06-14,23465.599609375,0,0.0039334507869606,0,0.84005547,0.08913178,0.07081282,0,0.2985383955425331,0.0,0.0,0.0039334507869606,0.0,0.0,0.0,0.0,100000.0,101284.22809859336
2024-06-18,23557.900390625,0,-0.0017786131162043,0,0.8883541,0.03884627,0.07279961,0,0.2985898508378074,0.0,0.0,-0.0017786131162043,-0.0,0.0,0.0,-0.0,100000.0,101104.08264203259
2024-06-19,23516.0,0,0.0021687361796223,0,0.77391,0.06298862,0.16310135,0,0.2989453798936285,0.0,0.0,0.0021687361796223,0.0,0.0,0.0,0.0,100000.0,101323.3507239659
2024-06-20,23567.0,0,-0.0027962995130903,0,0.90254754,0.051113054,0.046339378,0,0.2989264342258271,0.0,0.0,-0.0027962995130903,-0.0,0.0,0.0,-0.0,100000.0,101040.02028767178
2024-06-21,23501.099609375,0,0.001563756616109,0,0.62868625,0.13766219,0.23365156,0,0.2945937265563741,0.0,0.0,0.001563756616109,0.0,0.0,0.0,0.0,100000.0,101198.02228788844
2024-06-24,23537.849609375,1,0.0077938798539154,0,0.9000452,0.0735007,0.026454052,0,0.2945348166878512,0.0,0.0,0.0077938798539154,0.0,0.0,0.0,0.0,100000.0,101986.7475150541
2024-06-25,23721.30078125,1,0.0062180401218379,0,0.8843257,0.041606754,0.07406757,0,0.295279928372981,0.0,0.0,0.0062180401218379,0.0,0.0,0.0,0.0,100000.0,102620.90520299847
2024-06-26,23868.80078125,1,0.0073610408985447,0,0.87827206,0.08840044,0.033327483,2,0.2953669518493891,0.0,0.0,0.0073610408985447,0.0,0.0,0.0,0.0,100000.0,103376.30188324343
2024-06-27,24044.5,0,-0.0014099020825968,0,0.6687947,0.2566545,0.07455087,1,0.2933996368443206,0.0,0.0,-0.0014099020825968,-0.0,0.0,0.0,-0.0,100000.0,103230.55141992707
2024-06-28,24010.599609375,1,0.0054704843490753,0,0.6757641,0.2262851,0.097950876,1,0.2902300131006608,0.0,0.0,0.0054704843490753,0.0,0.0,0.0,0.0,100000.0,103795.2725358162
2024-07-01,24141.94921875,1,0.0066358010458649,1,0.27158195,0.7078546,0.02056347,1,0.2902788461114146,0.25,0.0,0.0066358010458649,0.0,0.0,0.0,0.0,100000.0,104484.03731386519
2024-07-05,24323.849609375,0,-0.0001356211363734,1,0.3839571,0.4064219,0.20962106,0,0.0815625200226673,0.0,0.25,-0.0001356211363734,-3.390528409335e-05,0.25,0.00025,-0.00028390528409335,99971.60947159067,104469.8670699918
2024-07-08,24320.55078125,0,0.0046318209860134,0,0.40386292,0.37111017,0.22502685,0,0.0512144838285579,0.0,0.0,0.0046318209860134,0.0,0.25,0.00025,-0.00025,99946.61656922277,104953.75279269261
2024-07-09,24433.19921875,0,-0.0044509111977667,0,0.7002498,0.18530601,0.11444423,0,0.0501749504748128,0.0,0.0,-0.0044509111977667,-0.0,0.0,0.0,-0.0,99946.61656922277,104486.61295913997
2024-07-10,24324.44921875,0,-0.0003494426502141,0,0.6031742,0.108782426,0.28804335,0,0.055436456096738,0.0,0.0,-0.0003494426502141,-0.0,0.0,0.0,-0.0,99946.61656922277,104450.10088019563
2024-07-11,24315.94921875,1,0.007657573644356,0,0.75383854,0.1438457,0.10231579,0,0.0561687689425096,0.0,0.0,0.007657573644356,0.0,0.0,0.0,0.0,99946.61656922277,105249.93521984616
2024-07-12,24502.150390625,0,0.0034506697076412,0,0.7777327,0.1439086,0.07835873,0,0.059428822703403,0.0,0.0,0.0034506697076412,0.0,0.0,0.0,0.0,99946.61656922277,105613.11798304049
2024-07-15,24586.69921875,0,0.0010697158254551,0,0.7999867,0.13723916,0.06277407,0,0.0595391460757264,0.0,0.0,0.0010697158254551,0.0,0.0,0.0,0.0,99946.61656922277,105726.09400672262
2024-07-16,24613.0,1,0.0076321297434283,0,0.74603117,0.18904178,0.06492708,0,0.0593891943629919,0.0,0.0,0.0076321297434283,0.0,0.0,0.0,0.0,99946.61656922277,106533.00927344782
2024-07-18,24800.849609375,2,-0.0108846762510892,0,0.77015215,0.16367029,0.06617757,0,0.0603994936921443,0.0,0.0,-0.0108846762510892,-0.0,0.0,0.0,-0.0,99946.61656922277,105373.43195745206
2024-07-19,24530.900390625,0,-0.0008825762723847,0,0.5104938,0.24403815,0.245468,0,0.0773662981956022,0.0,0.0,-0.0008825762723847,-0.0,0.0,0.0,-0.0,99946.61656922277,105280.43186666667
2024-07-22,24509.25,0,-0.0012321559717249,0,0.6839231,0.24302804,0.073048845,0,0.0760757078095282,0.0,0.0,-0.0012321559717249,-0.0,0.0,0.0,-0.0,99946.61656922277,105150.70995383637
2024-07-23,24479.05078125,0,-0.0026778318259059,0,0.82183766,0.11028812,0.067874216,0,0.0769795023462388,0.0,0.0,-0.0026778318259059,-0.0,0.0,0.0,-0.0,99946.61656922277,104869.13403620539
2024-07-24,24413.5,0,-0.0003031269840456,0,0.7517176,0.15138431,0.09689808,0,0.0754492703820766,0.0,0.0,-0.0003031269840456,-0.0,0.0,0.0,-0.0,99946.61656922277,104837.34537188553
2024-07-25,24406.099609375,1,0.0175673297602745,0,0.85026956,0.086353496,0.06337699,0,0.0735131314539224,0.0,0.0,0.0175673297602745,0.0,0.0,0.0,0.0,99946.61656922277,106679.05758922525
2024-07-26,24834.849609375,0,5.03324972633834e-05,1,0.4002496,0.48742342,0.11232699,0,0.0913681527328763,0.0,0.0,5.03324972633834e-05,0.0,0.0,0.0,0.0,99946.61656922277,106684.42701259941
2024-07-29,24836.099609375,0,0.0008536433743,0,0.54282105,0.33170635,0.12547264,2,0.0908717517268288,0.0,0.0,0.0008536433743,0.0,0.0,0.0,0.0,99946.61656922277,106775.49746685973
2024-07-30,24857.30078125,0,0.0037755350108565,0,0.7765414,0.13167563,0.09178295,1,0.089804598933776,0.0,0.0,0.0037755350108565,0.0,0.0,0.0,0.0,99946.61656922277,107178.63209584748
2024-07-31,24951.150390625,0,0.0023946791656728,0,0.8369347,0.09750999,0.065555386,1,0.0897620312826193,0.0,0.0,0.0023946791656728,0.0,0.0,0.0,0.0,99946.61656922277,107435.29053313272
2024-08-01,25010.900390625,2,-0.0117229354919546,0,0.8521353,0.092673965,0.0551908,1,0.0878370175144274,0.0,0.0,-0.0117229354919546,-0.0,0.0,0.0,-0.0,99946.61656922277,106175.8335526534
